ID,Age,Experience,Income,ZIP.Code,Family,CCAvg,Education,Mortgage,Personal.Loan,Securities.Account,CD.Account,Online,CreditCard
3529,43,17,41,90210,3,2.2,2,0,0,0,0,1,0
3530,33,7,25,94132,4,1,1,0,0,0,0,1,1
3531,54,28,49,90073,4,2.8,2,0,0,1,0,0,0
3532,38,12,58,94542,3,0.9,3,128,0,0,0,0,1
3533,38,12,141,94022,2,0,1,0,0,0,0,1,1
3534,57,32,50,94545,4,2.1,1,211,0,0,0,0,0
3535,34,10,61,95006,3,2,1,0,0,0,0,0,1
3536,52,27,65,92104,1,1.2,1,0,0,0,0,1,1
3537,50,24,112,94005,1,0.3,1,229,0,0,0,0,0
3538,60,34,19,92093,3,0.3,3,0,0,0,0,1,0
3539,26,0,23,93561,1,0.1,2,0,0,0,0,0,0
3540,56,30,60,91380,1,2.2,3,0,0,0,0,0,0
3541,39,15,30,94305,4,0.3,1,0,0,1,0,0,1
3542,45,20,144,92106,4,5.4,1,210,1,0,0,1,0
3543,30,5,118,92182,4,3,3,0,1,0,0,1,0
3544,37,11,194,94303,2,0,1,0,0,0,0,0,0
3545,45,19,109,92037,3,1.1,1,0,0,0,0,0,0
3546,48,22,174,95827,1,2.4,1,0,0,0,0,1,0
3547,65,40,34,94720,1,1.1,3,119,0,0,0,1,1
3548,46,20,84,92354,3,0.7,2,0,0,0,0,1,0
3549,40,16,41,91107,1,2,2,0,0,0,0,0,1
3550,33,7,92,90840,3,1.6,1,0,0,0,0,0,0
3551,40,10,19,94609,1,0.75,3,116,0,0,0,0,0
3552,60,35,55,92807,3,0.5,2,172,0,0,0,0,0
3553,51,27,22,93106,4,0.5,2,0,0,0,0,1,1
3554,41,16,155,95070,1,7,1,0,0,0,0,0,0
3555,37,13,72,92407,4,2,3,0,0,1,0,0,0
3556,35,9,81,91107,1,2.7,2,0,0,0,0,1,0
3557,35,11,30,94303,1,1.7,1,0,0,1,0,0,1
3558,46,20,54,90755,4,2.9,1,189,0,0,0,1,1
3559,60,34,60,94065,3,2.5,1,0,0,0,0,1,0
3560,51,25,68,94065,1,1.5,2,0,0,0,0,0,0
3561,31,5,65,94591,4,2.2,2,126,0,0,0,1,0
3562,30,6,31,94720,3,1,2,142,0,0,0,0,0
3563,32,8,169,94596,1,6.5,3,272,1,1,1,1,0
3564,53,27,139,94998,1,0.9,3,0,1,0,0,0,0
3565,33,7,29,94720,1,0.6,3,0,0,0,0,0,0
3566,40,15,43,92120,2,1.1,2,0,0,0,0,0,1
3567,57,33,80,92064,2,2.8,1,0,0,0,0,1,1
3568,51,26,43,91040,1,1.3,2,123,0,0,0,1,0
3569,30,4,194,93407,2,4.5,1,0,0,0,0,0,1
3570,41,15,24,92130,2,0.8,3,0,0,1,0,1,0
3571,54,29,32,91107,2,0.6,3,0,0,0,0,1,1
3572,42,18,153,93955,3,5.6,1,416,1,0,0,0,0
3573,30,6,30,90245,1,0.4,3,0,0,0,0,1,1
3574,60,36,165,90095,3,5.6,1,0,1,0,0,0,1
3575,56,30,64,95123,3,0.3,2,0,0,0,0,0,1
3576,63,38,15,94305,4,0.6,2,83,0,0,0,0,0
3577,56,30,70,90245,3,0.3,2,0,0,0,0,0,0
3578,39,9,32,91016,3,2,3,0,0,0,0,1,0
3579,29,5,128,91302,2,4.1,2,209,1,0,0,1,0
3580,28,2,84,94305,1,2.9,3,102,0,1,1,0,1
3581,41,16,62,94553,2,2.2,3,0,0,0,0,1,1
3582,28,4,33,91330,3,1,2,0,0,0,0,0,1
3583,49,25,65,92354,1,0,1,0,0,0,0,1,0
3584,30,3,33,95112,4,1.5,2,85,0,0,0,0,0
3585,63,37,15,92121,1,0.8,2,115,0,0,0,1,0
3586,45,18,45,92037,3,1,2,0,0,0,0,1,0
3587,40,15,132,94131,2,3.9,1,0,0,0,0,1,0
3588,28,4,29,94080,3,0.1,2,0,0,0,0,1,0
3589,62,38,65,91768,1,0,2,0,0,0,0,1,0
3590,38,12,52,92807,2,2.4,2,147,0,0,0,0,0
3591,32,7,64,92630,2,0.1,1,0,0,0,0,1,1
3592,58,32,73,94109,2,2.3,3,224,0,0,0,1,1
3593,33,3,20,94704,1,0.67,3,0,0,0,0,0,0
3594,60,34,44,90018,2,0.3,1,192,0,0,0,1,0
3595,34,8,79,95616,1,2.5,1,0,0,0,0,1,0
3596,38,14,104,90025,2,1.8,2,79,0,0,0,0,0
3597,44,20,88,94720,1,4.7,1,0,0,0,0,0,0
3598,56,26,51,92028,3,2,3,0,0,0,0,1,0
3599,37,11,61,95120,3,0.9,2,0,0,0,0,0,0
3600,45,19,23,93101,2,0.1,3,91,0,0,1,1,1
3601,44,20,38,90018,2,2.1,3,95,0,0,0,1,0
3602,37,13,75,94305,3,2.6,2,0,0,1,0,0,0
3603,47,21,42,95841,4,0.1,1,0,0,0,0,1,1
3604,51,25,45,92407,4,0.1,1,0,0,0,0,1,1
3605,63,38,59,92612,3,0.5,2,0,0,0,0,1,0
3606,61,31,130,92333,2,2.6,3,0,1,0,0,0,0
3607,43,18,9,96145,2,0,3,96,0,0,0,1,1
3608,41,15,62,90401,3,0.9,3,0,0,0,0,0,0
3609,59,35,202,94025,1,4.7,1,553,0,0,0,0,0
3610,29,5,162,94022,1,4.3,1,0,0,0,0,0,1
3611,32,6,93,90029,3,1.6,1,79,0,0,0,1,0
3612,64,39,145,92705,1,0.9,1,0,0,0,0,0,0
3613,50,25,99,90245,1,4.6,1,368,1,1,1,0,1
3614,35,11,148,92672,1,5.8,3,0,1,0,0,1,0
3615,34,10,154,94583,3,5.4,2,0,1,0,0,1,0
3616,58,34,149,95616,2,6,1,0,0,0,0,1,1
3617,41,15,69,92507,1,1.5,3,78,0,0,0,1,0
3618,37,11,30,94304,2,0.3,1,146,0,0,0,0,0
3619,35,8,48,92697,2,1,2,0,0,0,0,1,0
3620,45,20,42,94703,1,0.3,3,0,0,0,0,1,0
3621,53,29,132,95020,2,0.3,1,403,0,0,0,0,0
3622,53,27,81,91730,3,1.7,2,193,0,0,0,1,0
3623,54,29,60,94901,4,3.8,2,0,0,0,0,1,1
3624,28,3,45,91105,4,1.7,2,95,0,0,0,0,0
3625,58,28,70,92028,1,1.4,3,0,0,0,0,0,0
3626,47,21,71,92037,4,2.9,1,0,0,0,0,1,0
3627,24,-3,28,90089,4,1,3,0,0,0,0,0,0
3628,27,1,83,90034,2,0.2,1,0,0,0,0,0,1
3629,42,18,131,94949,1,3.4,1,0,0,0,0,0,1
3630,50,26,82,95051,1,0,1,0,0,0,0,1,1
3631,41,16,79,95020,1,4,3,225,0,0,0,1,0
3632,46,21,51,90089,4,1.9,3,0,0,0,0,0,0
3633,46,20,111,95307,2,6.3,1,0,0,0,0,0,1
3634,51,25,93,90048,1,0.3,1,0,0,0,0,1,0
3635,59,35,73,90009,4,2.3,3,0,0,0,0,0,0
3636,58,33,24,95616,2,0.5,2,0,0,0,0,1,0
3637,37,11,64,96094,3,0.9,2,0,0,0,0,1,0
3638,39,14,104,94608,3,1,1,242,0,0,0,1,0
3639,47,22,38,92866,4,1.9,3,0,0,0,0,1,0
3640,51,26,191,94063,1,8.1,1,0,0,1,0,1,0
3641,64,34,53,95821,4,1.67,3,0,0,0,0,0,1
3642,59,35,74,94402,4,2.3,3,0,0,0,0,0,0
3643,55,29,21,92704,4,0.7,3,0,0,1,0,1,0
3644,57,32,80,92606,3,1.6,3,144,0,0,0,1,1
3645,59,33,41,91711,4,2.5,1,174,0,0,0,0,0
3646,42,17,79,92103,1,3.7,3,0,0,1,0,0,1
3647,34,9,141,92056,3,6.9,2,260,1,0,0,1,0
3648,41,14,32,91605,3,1,2,0,0,0,0,0,1
3649,43,13,38,95616,3,2,3,0,0,0,0,1,0
3650,53,29,85,92691,3,1.8,2,0,0,0,0,1,0
3651,47,21,93,91604,2,0.8,3,107,0,0,0,0,0
3652,49,23,140,90504,1,1.9,3,0,1,0,0,0,1
3653,35,9,69,94704,4,2.2,2,0,0,0,0,0,1
3654,52,27,32,92521,2,2,2,0,0,0,0,0,1
3655,53,28,61,94061,4,0.9,1,177,0,0,0,0,0
3656,48,22,125,90086,1,2.4,1,0,0,0,0,1,0
3657,35,8,30,95014,4,1,2,0,0,1,0,0,0
3658,52,26,104,94025,2,2.4,2,0,0,0,0,1,1
3659,60,35,24,92612,1,0.1,1,0,0,0,0,0,0
3660,33,7,22,94002,1,0.4,2,0,0,0,0,0,0
3661,38,12,59,93401,2,2.4,2,0,0,0,0,0,0
3662,29,4,120,94553,1,4.1,2,0,1,1,1,0,1
3663,35,9,164,94305,2,0,1,500,0,0,0,0,0
3664,26,2,60,94111,4,1.6,1,0,0,0,1,1,1
3665,48,24,43,91791,3,1.9,2,0,0,0,0,1,0
3666,43,19,70,91711,3,2.33,1,0,0,1,0,0,0
3667,60,35,51,94143,2,2.8,1,0,0,0,0,1,0
3668,27,3,59,94590,4,1.6,1,0,0,0,0,1,0
3669,38,13,129,92037,4,0.3,3,75,1,0,0,1,0
3670,40,15,22,95616,2,1.4,2,0,0,0,0,1,1
3671,38,14,29,94402,4,0.4,2,0,0,0,0,1,0
3672,50,25,18,93106,1,0.4,3,0,0,0,0,1,0
3673,38,13,65,91320,3,0.5,3,0,0,0,0,1,0
3674,34,9,65,95134,4,1.3,1,0,0,0,0,0,1
3675,42,16,38,93437,1,0.2,1,0,0,1,0,0,0
3676,60,34,110,92126,2,2,1,0,0,0,0,1,0
3677,62,37,22,95818,1,1.5,2,111,0,0,0,1,0
3678,59,33,43,94234,2,0.3,1,0,0,0,0,0,1
3679,49,25,30,92093,4,0.6,1,0,0,0,0,0,0
3680,49,23,134,90095,2,6.3,1,0,0,0,0,1,0
3681,36,11,32,90064,3,1.3,1,0,0,0,0,0,0
3682,33,9,139,95054,1,4.3,1,0,0,0,0,0,0
3683,43,17,45,95051,2,0.7,1,0,0,0,0,0,0
3684,53,27,62,95070,3,3,2,0,0,1,0,0,0
3685,57,31,51,92093,4,1.7,2,103,0,0,0,1,0
3686,53,27,93,94588,1,0.8,3,313,0,0,0,0,0
3687,60,35,122,92521,1,1.3,1,0,0,0,0,0,0
3688,34,10,45,93943,1,1.33,1,0,0,0,0,0,0
3689,51,26,179,90245,1,8.1,1,0,0,1,0,1,0
3690,36,12,64,94708,3,2.8,1,205,0,0,0,0,1
3691,63,39,41,95449,2,1.1,1,0,0,0,0,0,0
3692,37,13,58,95211,2,0.6,3,0,0,0,0,0,1
3693,57,33,64,94132,4,2.2,1,0,0,0,0,1,0
3694,52,27,28,93117,3,1.7,2,0,0,0,0,0,0
3695,38,8,21,92037,1,0.67,3,0,0,0,0,1,0
3696,61,35,60,90272,1,2.8,2,0,0,0,0,1,0
3697,31,5,78,94309,2,0.2,1,0,0,0,0,0,1
3698,39,13,59,95616,3,0.5,3,0,0,0,0,0,0
3699,38,12,59,96001,3,0.5,3,0,0,1,1,1,1
3700,46,22,83,94501,4,1.4,2,0,0,0,0,1,1
3701,48,22,128,94608,1,5.7,1,0,0,1,0,0,0
3702,58,33,95,90503,1,2.6,1,0,0,0,0,1,0
3703,50,25,160,93108,4,4.3,3,410,1,0,0,0,0
3704,67,41,78,94301,4,2.4,3,0,0,1,0,0,0
3705,36,11,184,91304,2,5.1,2,0,1,0,0,0,0
3706,30,4,30,91770,3,1,1,0,0,0,0,1,0
3707,58,33,51,94305,2,1.6,3,123,0,0,0,1,0
3708,43,18,35,92647,1,0.6,3,0,0,0,0,0,0
3709,31,1,74,92116,4,4,3,0,0,0,0,0,0
3710,37,11,43,92521,4,1.2,2,0,0,1,0,0,0
3711,49,22,23,90032,2,1,2,0,0,0,0,1,1
3712,27,1,20,94720,4,0.4,1,99,0,0,0,1,0
3713,50,25,112,92154,1,0.6,1,0,0,0,0,0,0
3714,46,20,74,90064,3,0.7,2,0,0,0,0,1,1
3715,49,23,65,94720,2,0.4,3,232,0,0,0,0,1
3716,29,5,124,92037,2,0.2,1,0,0,0,0,0,1
3717,55,29,65,91773,3,2.5,1,0,0,0,0,0,0
3718,61,37,73,94550,3,2,3,285,0,0,0,0,0
3719,45,19,8,92833,2,0.1,3,0,0,0,0,0,1
3720,33,8,53,92126,3,2.3,1,76,0,0,0,1,0
3721,63,39,131,92521,3,2.6,3,229,1,0,0,1,0
3722,32,6,13,91040,4,0.3,1,0,0,1,1,1,1
3723,42,17,60,93118,1,2.4,1,98,0,0,0,1,0
3724,51,27,45,94022,1,1.6,2,82,0,0,0,1,0
3725,44,20,39,93108,2,2.1,3,119,0,0,0,0,0
3726,33,6,78,94305,4,2,2,0,0,0,0,0,0
3727,39,13,43,94304,3,0.5,3,0,0,0,0,1,0
3728,56,30,31,94117,2,0.3,1,109,0,1,1,1,1
3729,28,3,118,91902,3,2.4,2,161,1,0,0,0,0
3730,43,17,82,94040,3,0.1,1,0,0,0,0,1,0
3731,30,6,112,92093,3,2.5,1,0,0,0,0,1,0
3732,34,8,10,92867,1,0.4,2,0,0,0,0,1,0
3733,26,1,18,92521,2,0.9,3,95,0,0,0,0,0
3734,58,32,72,94105,3,0.3,2,0,0,0,0,1,0
3735,43,19,72,95193,4,0.2,3,0,0,0,0,1,0
3736,40,14,78,91103,1,5.2,1,0,0,0,0,1,0
3737,54,30,78,96001,3,1.8,2,0,0,0,0,0,0
3738,44,19,30,91423,1,0.5,3,0,0,0,0,1,0
3739,54,28,45,95008,3,1.4,1,0,0,0,0,0,1
3740,39,14,80,90502,2,0.4,1,0,0,0,0,0,0
3741,59,35,174,92660,1,4.7,1,0,0,0,0,1,1
3742,53,29,51,92152,2,3.2,3,0,0,0,0,1,0
3743,32,8,181,94596,1,6,1,0,0,0,1,1,1
3744,40,14,78,94720,4,1.4,2,194,0,0,0,1,1
3745,54,29,79,90025,3,1.6,3,0,0,0,0,0,0
3746,27,3,119,90640,1,5.4,1,118,0,0,0,1,0
3747,63,39,49,93943,4,1.2,2,109,0,1,1,1,1
3748,26,0,83,91360,3,3.9,2,0,1,0,0,1,0
3749,33,7,100,94025,1,2.7,2,126,0,0,0,1,0
3750,43,19,70,90095,3,2.33,1,0,0,0,0,1,0
3751,57,32,52,90266,3,0.5,2,0,0,0,0,1,0
3752,26,2,12,94591,4,1,1,0,0,0,0,1,0
3753,55,30,82,93003,4,1.3,3,219,0,0,0,0,1
3754,30,4,34,95351,2,0.3,2,0,0,0,0,1,1
3755,63,37,112,93106,4,2.4,3,0,0,0,0,1,1
3756,55,25,42,94115,3,1,3,0,0,0,0,1,0
3757,35,11,83,92122,2,2.2,1,0,0,0,0,0,0
3758,45,21,142,91101,1,1.4,2,0,1,0,0,1,0
3759,47,23,199,94720,2,6.67,1,0,0,0,0,1,0
3760,31,4,29,92093,4,1.5,2,121,0,0,0,1,1
3761,56,26,70,91107,3,1.4,3,273,0,0,0,1,1
3762,49,24,25,95831,2,0.7,3,0,0,0,0,1,0
3763,53,27,84,95616,2,1.1,1,0,0,0,0,1,0
3764,62,36,81,95051,3,4.4,1,0,0,0,0,0,1
3765,63,37,15,94720,2,0.4,1,0,0,0,0,0,0
3766,26,0,54,94706,3,0.3,3,0,0,0,0,1,0
3767,59,35,108,90245,4,3.8,2,304,1,0,0,1,0
3768,40,16,83,95819,4,2.67,1,0,0,0,0,1,1
3769,42,16,62,94309,1,0.7,3,170,0,0,1,1,1
3770,29,4,134,90095,2,3.3,1,204,0,0,0,0,0
3771,40,16,75,94306,3,2.33,1,79,0,0,0,0,0
3772,31,7,109,91711,2,2,2,341,0,0,0,0,1
3773,35,10,152,94112,2,3,1,0,0,0,0,1,0
3774,62,36,83,93940,4,2.4,3,0,0,1,0,0,0
3775,51,26,52,92521,4,1.8,3,0,0,0,0,1,0
3776,32,6,31,90275,2,2,3,0,0,0,0,1,1
3777,27,3,135,93108,3,2.7,3,449,1,0,0,0,1
3778,62,37,98,94706,1,0.9,1,151,0,0,0,1,0
3779,66,41,14,95814,4,0.6,2,0,0,0,0,0,0
3780,53,27,64,93407,4,2.6,1,0,0,0,0,1,1
3781,49,25,109,92780,2,6.8,1,0,0,0,0,0,0
3782,65,40,118,94104,1,1.3,1,333,0,0,1,1,1
3783,30,5,80,91311,4,2.2,2,0,0,1,0,1,0
3784,60,34,51,90028,3,1.4,3,0,0,0,0,0,0
3785,30,6,115,94611,4,3.8,2,0,1,0,0,1,0
3786,54,28,83,95841,1,2.4,1,0,0,0,0,1,0
3787,54,28,90,91301,1,0.3,1,0,0,0,0,1,0
3788,37,12,28,95616,4,1.7,1,0,0,1,1,1,0
3789,32,7,82,95616,2,2.5,1,221,0,0,0,1,1
3790,51,27,24,94301,3,0.4,1,0,0,0,0,1,1
3791,46,22,71,92029,2,1.7,1,0,0,0,0,1,1
3792,41,17,80,91330,1,0.3,1,0,0,0,0,0,0
3793,62,36,109,92709,4,1.7,3,0,0,0,0,1,0
3794,54,28,140,91711,1,2.9,1,0,0,0,0,1,0
3795,52,27,39,92612,4,0.2,2,0,0,1,0,1,0
3796,51,25,39,94010,1,1.2,2,98,0,0,0,1,0
3797,24,-2,50,94920,3,2.4,2,0,0,1,0,0,0
3798,61,35,31,92521,2,0.3,1,0,0,0,0,1,0
3799,55,25,35,93943,3,1,3,144,0,0,0,1,1
3800,37,11,44,93109,4,0.2,1,0,0,0,0,0,1
3801,64,38,35,93955,1,0.5,3,0,0,0,0,1,0
3802,34,8,20,95616,2,0.3,1,106,0,0,0,1,1
3803,31,7,10,95616,4,0.7,2,0,0,0,0,1,0
3804,42,18,83,96001,4,2,3,0,0,0,0,1,0
3805,47,22,203,95842,2,8.8,1,0,0,0,0,1,0
3806,29,5,84,93109,3,0.8,1,0,0,0,0,0,0
3807,34,8,41,92096,4,0.8,1,0,0,0,0,0,0
3808,36,11,164,95051,2,7.8,1,0,0,0,0,1,1
3809,34,10,152,90089,2,6.5,1,0,0,0,0,0,0
3810,26,2,62,94080,4,1.6,1,0,0,1,0,0,0
3811,48,24,12,94707,4,1,1,89,0,0,0,0,0
3812,47,23,28,94061,4,0.6,1,0,0,0,0,1,0
3813,39,13,52,94720,1,2,1,0,0,0,0,0,1
3814,62,37,19,91343,3,1.3,2,97,0,0,0,1,0
3815,34,9,35,94304,3,1.3,1,0,0,0,0,0,0
3816,43,19,28,95053,4,0.3,1,96,0,0,0,1,0
3817,55,30,70,94904,3,2,2,0,0,0,0,1,1
3818,65,40,140,92093,1,0.9,1,0,0,0,0,0,0
3819,26,0,102,94305,4,2.3,3,0,0,0,0,0,0
3820,57,27,50,93950,4,2,3,0,0,0,0,1,0
3821,32,7,61,94102,3,2.3,1,205,0,0,0,1,1
3822,35,9,188,92220,2,3.7,2,259,1,0,0,1,0
3823,63,33,178,91768,4,9,3,0,1,0,0,0,0
3824,49,25,44,94708,4,0.9,2,194,0,0,0,1,0
3825,23,-1,12,95064,4,1,1,0,0,1,0,0,1
3826,30,6,69,94305,4,3.4,1,188,0,0,0,0,1
3827,43,19,132,90089,1,5,1,0,0,0,0,0,0
3828,39,14,128,93943,2,3.9,1,196,0,0,0,1,0
3829,31,6,44,95616,4,0.8,1,122,0,0,0,1,0
3830,65,39,44,92038,1,0.5,3,0,0,0,0,1,1
3831,34,8,34,92130,2,2,3,0,0,1,0,1,0
3832,37,12,132,90089,2,3.9,1,0,0,0,0,0,0
3833,62,38,158,90230,2,2.1,1,0,0,0,0,0,1
3834,33,9,83,93943,1,0.1,1,0,0,0,0,1,0
3835,48,22,28,94720,1,1.4,3,75,0,0,0,1,0
3836,33,9,131,90065,3,2.2,3,0,1,1,0,0,0
3837,45,19,31,95616,3,0.5,2,0,0,0,0,1,1
3838,44,19,40,92350,4,0,2,0,0,0,0,1,0
3839,37,11,71,94501,2,1.8,1,127,0,1,0,0,0
3840,31,5,42,93010,2,2,3,0,0,0,0,1,0
3841,56,31,35,95211,3,0.1,2,114,0,0,0,0,0
3842,30,4,81,94305,2,0.2,1,0,0,0,0,1,0
3843,61,35,91,95136,2,2,1,0,0,0,0,1,0
3844,32,7,129,94720,4,5.2,2,0,1,0,0,0,1
3845,51,27,75,95828,1,2.7,1,0,0,0,0,0,0
3846,26,1,54,94061,4,0.6,2,230,0,0,0,0,0
3847,31,5,43,94720,1,1.5,1,0,0,0,0,0,0
3848,43,18,94,94110,4,1.1,2,0,0,0,0,0,0
3849,57,32,84,93106,4,1.3,3,0,0,0,0,0,1
3850,42,18,34,92653,1,2,2,0,0,1,0,0,0
3851,48,23,15,94061,4,0.8,1,0,0,0,0,1,0
3852,46,21,99,90277,2,3.8,3,194,0,0,0,1,0
3853,33,7,15,92152,1,0.4,2,82,0,1,1,1,1
3854,45,21,83,94105,4,2,3,0,0,0,0,1,0
3855,31,6,83,94720,4,1.8,3,0,0,0,0,1,0
3856,42,18,143,95630,1,1.7,1,0,0,1,0,1,0
3857,56,30,81,90401,4,2.6,3,0,0,0,0,1,0
3858,63,39,39,91711,1,1.9,2,0,0,0,0,0,0
3859,42,18,158,92124,2,0.4,2,277,1,0,0,0,1
3860,50,24,62,90245,1,1.4,3,0,0,0,0,0,0
3861,31,6,64,92121,2,0.1,1,0,0,0,0,1,1
3862,65,40,29,90025,1,1.5,2,0,0,0,0,0,0
3863,60,34,64,94104,3,2.5,1,0,0,0,0,1,0
3864,34,10,21,91770,4,0.7,2,0,0,0,0,1,0
3865,62,32,142,95112,2,2.8,3,0,1,0,0,0,1
3866,56,30,64,93105,3,2.5,1,0,0,0,0,0,0
3867,51,25,40,91401,4,1.8,1,0,0,1,0,0,1
3868,44,19,61,94080,3,2.7,2,0,0,0,0,0,0
3869,41,16,44,92037,1,0.3,3,0,0,0,0,0,0
3870,43,16,78,95670,3,2.67,2,161,0,0,0,1,1
3871,25,0,25,94596,2,0.9,3,0,0,0,0,0,0
3872,40,16,125,91304,2,1.9,1,0,0,0,0,0,1
3873,53,29,63,94720,2,1,3,0,0,0,0,1,0
3874,54,30,54,94550,1,1.6,3,185,0,0,0,1,0
3875,36,12,92,94709,2,0,1,184,0,0,0,0,0
3876,26,2,119,95351,2,0.6,1,381,0,0,0,1,1
3877,35,11,40,91784,1,2.4,2,0,0,0,0,1,0
3878,29,4,41,93105,1,1,1,0,0,0,0,0,0
3879,35,11,81,92064,2,0,1,0,0,0,0,1,1
3880,28,4,101,95136,3,2.5,1,270,0,0,0,0,0
3881,48,24,25,90024,4,0.5,2,0,0,0,0,0,0
3882,46,20,55,91016,1,1.5,2,0,0,1,0,0,0
3883,31,7,43,92646,1,2.1,3,166,0,0,0,0,1
3884,40,16,98,94534,2,1.8,2,98,0,0,0,1,0
3885,27,1,112,91330,4,2.3,3,402,0,0,0,1,1
3886,32,2,69,93943,4,4,3,102,0,0,0,1,0
3887,67,43,79,95616,4,1.7,2,215,0,0,1,1,1
3888,24,-2,118,92634,2,7.2,1,0,0,1,0,1,0
3889,45,18,81,95133,3,2.67,2,251,0,0,0,1,1
3890,26,0,19,93014,1,0.1,2,121,0,0,0,1,0
3891,42,17,139,91101,2,2.9,3,0,1,0,0,1,0
3892,65,40,63,94701,3,0.5,2,0,0,0,0,1,0
3893,59,33,102,91763,2,1.4,1,0,0,0,0,1,0
3894,30,5,40,92521,4,1.7,2,0,0,0,0,1,0
3895,32,6,44,92886,1,0.3,1,81,0,0,0,1,1
3896,36,12,59,94104,3,2,1,216,0,0,0,0,0
3897,48,24,224,93940,2,6.67,1,0,0,0,1,1,1
3898,56,31,64,90245,2,2.3,3,0,0,0,0,0,0
3899,44,20,129,96001,2,3.3,1,0,0,0,0,1,0
3900,60,34,43,92697,1,1.4,1,0,0,0,0,1,1
3901,51,27,12,92834,3,0.4,1,0,0,1,1,1,1
3902,34,10,53,94107,3,2.6,2,0,0,0,0,1,0
3903,45,21,39,93305,2,2.1,3,0,0,0,0,0,1
3904,47,23,65,93943,1,0,1,0,0,0,0,0,0
3905,29,5,18,94122,1,0.4,3,94,0,0,0,1,1
3906,52,28,55,94596,1,1.6,3,0,0,0,0,0,0
3907,61,35,60,90245,1,2.5,3,0,0,0,0,1,0
3908,40,14,42,91330,2,0.3,1,187,0,0,0,1,0
3909,24,0,44,90638,3,0.1,2,0,0,0,0,0,0
3910,33,7,111,90245,2,1.3,1,0,0,0,0,1,0
3911,33,8,62,94596,1,1,1,0,0,0,0,1,0
3912,52,26,44,94025,2,0.8,3,148,0,0,0,0,1
3913,40,14,69,95348,1,1.5,3,0,0,0,0,0,0
3914,45,20,62,92064,3,0.8,3,172,0,0,0,1,0
3915,27,3,35,94080,1,1.8,2,0,0,0,0,0,0
3916,38,13,91,92037,1,2.8,1,0,0,0,0,1,1
3917,50,26,12,92121,1,0.2,1,96,0,0,0,0,0
3918,41,15,89,94608,3,0.1,1,292,0,0,0,1,0
3919,60,34,65,90024,4,1.7,2,0,0,1,0,1,0
3920,64,34,179,90024,2,4.5,3,400,1,0,0,0,0
3921,34,8,82,93106,2,1.5,3,0,0,1,1,1,1
3922,30,6,48,95812,1,1.2,1,0,0,0,0,1,0
3923,31,4,20,95616,4,1.5,2,0,0,0,0,1,0
3924,41,15,91,90502,1,2.8,3,330,0,1,0,1,0
3925,61,37,122,94609,2,6,1,0,0,0,0,1,0
3926,42,18,22,90717,1,1.4,3,0,0,0,0,1,0
3927,48,23,43,94301,2,1.3,1,0,0,0,0,1,0
3928,59,34,38,90291,4,1.7,1,0,0,0,0,0,1
3929,57,33,61,92115,3,2.67,1,0,0,0,0,1,0
3930,37,13,33,91773,4,0.4,2,0,0,0,0,0,0
3931,53,27,145,95605,1,2.9,1,345,0,0,0,0,0
3932,53,27,170,95003,1,1,1,0,0,0,0,1,0
3933,26,2,55,94305,3,0.7,2,0,0,0,0,1,0
3934,39,14,40,91302,1,2.5,3,0,0,0,0,1,0
3935,35,11,68,94923,2,0,1,126,0,0,0,0,1
3936,59,33,53,90034,3,2.5,1,0,0,0,0,1,0
